County Name,Date,Year,Month,Day,Hour,PM2.5,PM10,NO2,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_100m (km/h),Average Traffic Density
Cook,2020-01-05,2020,1,5,23,4.3,17.0,4.4,0.1,75,0.0,36.3,
Cook,2020-01-06,2020,1,6,0,6.0,14.0,4.7,-1.0,75,0.0,37.5,
Cook,2020-01-06,2020,1,6,1,2.1,10.0,4.5,-1.3,73,0.0,37.1,
Cook,2020-01-06,2020,1,6,2,5.8,11.0,8.1,-1.9,72,0.0,32.8,
Cook,2020-01-06,2020,1,6,3,2.7,10.0,30.4,-2.4,72,0.0,29.5,
Cook,2020-01-06,2020,1,6,4,-0.8,13.0,31.3,-2.9,71,0.0,28.2,
Cook,2020-01-06,2020,1,6,5,1.4,15.0,31.0,-3.4,70,0.0,27.4,
Cook,2020-01-06,2020,1,6,6,6.4,26.0,23.5,-2.9,71,0.0,24.1,
Cook,2020-01-06,2020,1,6,7,5.8,28.0,32.4,-3.0,71,0.0,21.4,
Cook,2020-01-06,2020,1,6,8,2.1,38.0,29.3,-2.5,67,0.0,23.0,
Cook,2020-01-06,2020,1,6,9,3.8,38.0,24.7,-0.9,62,0.0,25.2,
Cook,2020-01-06,2020,1,6,10,7.5,40.0,25.7,0.7,59,0.0,26.4,
Cook,2020-01-06,2020,1,6,11,3.5,50.0,26.0,2.1,56,0.0,27.9,
Cook,2020-01-06,2020,1,6,12,3.9,52.0,27.6,3.4,51,0.0,27.9,
Cook,2020-01-06,2020,1,6,13,2.4,45.0,24.8,4.3,49,0.0,27.4,
Cook,2020-01-06,2020,1,6,14,1.4,36.0,27.4,4.5,50,0.0,28.5,
Cook,2020-01-06,2020,1,6,15,1.1,30.0,27.7,4.1,54,0.0,27.3,
Cook,2020-01-06,2020,1,6,16,-0.9,20.0,27.6,2.9,60,0.0,27.0,
Cook,2020-01-06,2020,1,6,17,0.5,32.0,27.6,1.7,63,0.0,28.3,
Cook,2020-01-06,2020,1,6,18,1.4,32.0,28.3,1.4,65,0.0,29.2,
Cook,2020-01-06,2020,1,6,19,0.1,36.0,27.1,1.3,65,0.0,28.9,
Cook,2020-01-06,2020,1,6,20,-0.1,33.0,26.6,0.9,66,0.0,26.9,
Cook,2020-01-06,2020,1,6,21,6.7,37.0,27.8,0.8,66,0.0,24.0,
Cook,2020-01-06,2020,1,6,22,6.8,30.0,25.6,0.2,68,0.0,29.5,
Cook,2020-01-06,2020,1,6,23,7.2,26.0,26.3,-0.3,71,0.0,27.1,
Cook,2020-01-07,2020,1,7,0,5.6,25.0,26.1,-1.0,73,0.0,24.5,
Cook,2020-01-07,2020,1,7,1,7.4,26.0,29.2,-1.1,74,0.0,22.6,
Cook,2020-01-07,2020,1,7,2,4.4,23.0,26.0,-1.7,77,0.0,21.1,
Cook,2020-01-07,2020,1,7,3,3.9,25.0,27.8,-2.0,77,0.0,25.2,
Cook,2020-01-07,2020,1,7,4,3.1,28.0,28.6,-2.1,76,0.0,27.5,
Cook,2020-01-07,2020,1,7,5,7.6,26.0,31.8,-2.2,74,0.0,28.5,
Cook,2020-01-07,2020,1,7,6,6.0,25.0,31.4,-2.2,76,0.0,25.9,
Cook,2020-01-07,2020,1,7,7,8.6,40.0,32.7,-1.7,73,0.0,26.0,
Cook,2020-01-07,2020,1,7,8,9.7,52.0,31.9,-0.9,71,0.0,27.3,
Cook,2020-01-07,2020,1,7,9,13.4,49.0,28.3,0.2,70,0.0,27.0,
Cook,2020-01-07,2020,1,7,10,4.8,50.0,28.2,2.0,67,0.0,24.5,
Cook,2020-01-07,2020,1,7,11,5.1,42.0,20.4,3.5,65,0.1,27.5,
Cook,2020-01-07,2020,1,7,12,7.8,34.0,12.9,4.0,63,0.0,30.2,
Cook,2020-01-07,2020,1,7,13,3.5,27.0,12.3,4.8,61,0.0,33.2,
Cook,2020-01-07,2020,1,7,14,6.7,34.0,13.2,4.8,59,0.0,33.5,
Cook,2020-01-07,2020,1,7,15,5.6,32.0,17.4,4.4,58,0.0,29.9,
Cook,2020-01-07,2020,1,7,16,4.7,27.0,29.3,3.2,62,0.0,31.3,
Cook,2020-01-07,2020,1,7,17,2.7,20.0,27.4,2.3,64,0.0,34.5,
Cook,2020-01-07,2020,1,7,18,3.7,19.0,23.6,1.5,69,0.1,31.2,
Cook,2020-01-07,2020,1,7,19,2.6,23.0,19.4,1.3,68,0.0,38.0,
