ID,SiteID,ObservationTimeUTC,Value
179682,36061NY09929,2020-01-07 03:00:00.000,13.11
179686,36061NY09929,2020-01-07 04:00:00.000,9.49
179690,36061NY09929,2020-01-07 05:00:00.000,9.63
179694,36061NY09929,2020-01-07 06:00:00.000,8.21
179698,36061NY09929,2020-01-07 07:00:00.000,7.9
179702,36061NY09929,2020-01-07 08:00:00.000,7.96
179706,36061NY09929,2020-01-07 09:00:00.000,9.06
179710,36061NY09929,2020-01-07 10:00:00.000,8.56
179714,36061NY09929,2020-01-07 11:00:00.000,11.09
179717,36061NY09929,2020-01-07 12:00:00.000,13.03
179721,36061NY09929,2020-01-07 13:00:00.000,16.3
179724,36061NY09929,2020-01-07 14:00:00.000,16.09
179728,36061NY09929,2020-01-07 15:00:00.000,42.47
179731,36061NY09929,2020-01-07 16:00:00.000,16.3
179734,36061NY09929,2020-01-07 17:00:00.000,18.92
179738,36061NY09929,2020-01-07 18:00:00.000,21.95
179742,36061NY09929,2020-01-07 19:00:00.000,15.23
179746,36061NY09929,2020-01-07 20:00:00.000,20.93
179750,36061NY09929,2020-01-07 21:00:00.000,16.9
179753,36061NY09929,2020-01-07 22:00:00.000,15.48
179757,36061NY09929,2020-01-07 23:00:00.000,16.53
179761,36061NY09929,2020-01-08 00:00:00.000,16.19
179765,36061NY09929,2020-01-08 01:00:00.000,17.28
179769,36061NY09929,2020-01-08 02:00:00.000,18.51
179772,36061NY09929,2020-01-08 03:00:00.000,19.32
179776,36061NY09929,2020-01-08 04:00:00.000,18.39
179780,36061NY09929,2020-01-08 05:00:00.000,13.05
179783,36061NY09929,2020-01-08 06:00:00.000,10.45
179787,36061NY09929,2020-01-08 07:00:00.000,9.49
179790,36061NY09929,2020-01-08 08:00:00.000,7.33
179794,36061NY09929,2020-01-08 09:00:00.000,10.24
179798,36061NY09929,2020-01-08 10:00:00.000,15.96
179802,36061NY09929,2020-01-08 11:00:00.000,22.21
179806,36061NY09929,2020-01-08 12:00:00.000,24.3
179809,36061NY09929,2020-01-08 13:00:00.000,27.38
179813,36061NY09929,2020-01-08 14:00:00.000,29.03
179817,36061NY09929,2020-01-08 15:00:00.000,37.1
179819,36061NY09929,2020-01-08 16:00:00.000,24.26
179824,36061NY09929,2020-01-08 19:00:00.000,9.77
179827,36061NY09929,2020-01-08 20:00:00.000,12.85
179829,36061NY09929,2020-01-08 21:00:00.000,13.58
179832,36061NY09929,2020-01-08 22:00:00.000,16.28
179835,36061NY09929,2020-01-08 23:00:00.000,15.76
179837,36061NY09929,2020-01-09 00:00:00.000,12.19
179840,36061NY09929,2020-01-09 01:00:00.000,10.13
179842,36061NY09929,2020-01-09 02:00:00.000,10.01
179845,36061NY09929,2020-01-09 03:00:00.000,8.27
179848,36061NY09929,2020-01-09 04:00:00.000,7.46
179850,36061NY09929,2020-01-09 05:00:00.000,5.77
179853,36061NY09929,2020-01-09 06:00:00.000,5.56
179855,36061NY09929,2020-01-09 07:00:00.000,5.39
179858,36061NY09929,2020-01-09 08:00:00.000,5.38
179861,36061NY09929,2020-01-09 09:00:00.000,6.0
179863,36061NY09929,2020-01-09 10:00:00.000,6.96
179866,36061NY09929,2020-01-09 11:00:00.000,8.63
179869,36061NY09929,2020-01-09 12:00:00.000,10.65
179872,36061NY09929,2020-01-09 13:00:00.000,10.62
179875,36061NY09929,2020-01-09 14:00:00.000,13.99
179878,36061NY09929,2020-01-09 15:00:00.000,25.57
179881,36061NY09929,2020-01-09 16:00:00.000,25.86
179884,36061NY09929,2020-01-09 17:00:00.000,15.5
179887,36061NY09929,2020-01-09 18:00:00.000,17.3
179890,36061NY09929,2020-01-09 19:00:00.000,15.85
179893,36061NY09929,2020-01-09 20:00:00.000,15.18
179896,36061NY09929,2020-01-09 21:00:00.000,12.83
179899,36061NY09929,2020-01-09 22:00:00.000,18.82
179902,36061NY09929,2020-01-09 23:00:00.000,17.77
179905,36061NY09929,2020-01-10 00:00:00.000,12.78
179908,36061NY09929,2020-01-10 01:00:00.000,12.4
179911,36061NY09929,2020-01-10 02:00:00.000,9.13
179914,36061NY09929,2020-01-10 03:00:00.000,9.51
